,SpeciesGroup,,Gender,,
,Shark,Shark,,Shark,Shark Total
Area,Female,Male,,Unknown,
Bribie Island,9,1,,,10
Bundaberg,769,367,,92,1228
Cairns,823,606,,20,1449
Capricorn Coast,839,915,,81,1835
Gladstone,541,443,,70,1054
Gold Coast,755,482,,15,1252
Mackay,1054,632,,28,1714
Nth Stradbroke Is.,262,73,,25,360
Rainbow Beach,560,417,,31,1008
Sunshine Coast North,706,389,,60,1155
Sunshine Coast South,71,38,,7,116
Sunshine Coast South & Bribie Island,232,135,,20,387
Townsville,1252,977,,194,2423
Grand Total,7873,5475,,643,13991
