,SpeciesGroup,,CalendarYear,,,Fate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shark,Shark,,Shark,Shark,,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark Total
,2001,2001,,2001 Total,2002,,2002,2002 Total,2003,2003,2003 Total,2004,2004,2004 Total,2005,2005,2005 Total,2006,2006,2006 Total,2007,2007,2007 Total,2008,2008,2008 Total,2009,2009,2009 Total,2010,2010,2010 Total,2011,2011,2011 Total,2012,2012,2012 Total,2013,2013,2013 Total,2014,2014,2014 Total,2015,2015,2015 Total,2016,2016,2016 Total,2017,2017,2017 Total,2018,2018,2018 Total,2019,2019,2019 Total,2020,2020,2020 Total,2021,2021,2021 Total,2022,2022,2022 Total,2023,2023,2023 Total,
Area,Alive,Dead,,,Alive,,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,Alive,Dead,,
Bribie Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,2,,1,1,,1,1,,1,1,1,2,3,1,,1,10
Bundaberg,19,43,,62,18,,44,62,22,28,50,8,31,39,33,36,69,21,28,49,22,26,48,21,32,53,10,20,30,8,34,42,18,47,65,18,38,56,18,58,76,21,36,57,22,23,45,17,35,52,27,27,54,28,25,53,9,49,58,2,53,55,26,47,73,28,36,64,5,11,16,1228
Cairns,20,59,,79,11,,35,46,8,58,66,20,42,62,23,43,66,15,26,41,20,56,76,20,35,55,18,42,60,21,50,71,28,63,91,22,69,91,26,48,74,14,57,71,26,90,116,11,40,51,14,33,47,16,27,43,8,35,43,16,46,62,19,39,58,16,44,60,5,15,20,1449
Capricorn Coast,4,83,,87,8,,83,91,1,65,66,1,79,80,4,80,84,6,62,68,8,73,81,2,67,69,4,56,60,3,62,65,7,59,66,6,99,105,6,110,116,9,57,66,14,57,71,4,50,54,5,36,41,8,35,43,3,35,38,8,42,50,52,92,144,65,113,178,43,69,112,1835
Gladstone,12,20,,32,4,,14,18,6,24,30,3,48,51,4,36,40,3,51,54,2,47,49,1,51,52,3,60,63,2,55,57,4,72,76,3,64,67,2,57,59,4,46,50,1,45,46,1,51,52,6,39,45,7,29,36,4,38,42,1,28,29,7,27,34,5,42,47,2,23,25,1054
Gold Coast,20,65,,85,8,,65,73,9,66,75,8,67,75,5,73,78,3,35,38,5,30,35,9,25,34,3,34,37,4,35,39,9,29,38,17,32,49,10,24,34,12,24,36,22,25,47,10,36,46,11,48,59,9,40,49,7,53,60,,85,85,20,64,84,24,45,69,11,16,27,1252
